                  epoch,             train/loss,              test/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                     88,                0.78186,                0.93497,                0.97035,                0.99378,              0.0001189
                     89,                0.78178,                0.94054,                0.96891,                 0.9933,               0.000109
                     90,                0.78169,                0.93707,                0.96796,                 0.9933,               9.91e-05
                     91,                0.78183,                0.94137,                0.96891,                 0.9933,               8.92e-05
                     92,                0.78153,                0.93348,                0.97035,                0.99378,               7.93e-05
                     93,                0.78153,                0.93776,                0.96844,                0.99426,               6.94e-05
                     94,                0.78147,                0.93722,                0.96796,                0.99378,               5.95e-05
                     95,                0.78128,                0.94408,                0.96844,                0.99378,               4.96e-05
                     96,                0.78124,                0.94897,                0.96844,                0.99378,               3.97e-05
                     97,                0.78115,                 0.9409,                0.96891,                0.99378,               2.98e-05
                     98,                0.78106,                0.93547,                0.97035,                0.99378,               1.99e-05
                     99,                0.78103,                0.94651,                0.97035,                 0.9933,                  1e-05
